Fecha,Convertible Arbitrage,CTA Global,Distressed Securities,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Global Macro,Long/Short Equity,Merger Arbitrage,Relative Value,Short Selling,Funds Of Funds
2015-05-31,0.46,-0.53,0.25,0.21,0.56,0.83,0.26,0.63,1.42,1.09,0.5,-0.96,0.97
2015-06-30,-0.86,-3.43,-1.59,-1.77,0.3,-1.24,-0.39,-1.76,-0.72,-0.5,-0.91,0.85,-1.08
2015-07-31,-0.58,2.09,-0.45,-1.97,0.37,-0.74,-0.05,1.46,0.31,0.03,0.03,0.46,0.22
2015-08-31,-0.45,-2.2,-2.27,-3.84,0.18,-2.49,-0.37,-1.31,-2.29,-0.56,-1.03,5.78,-2.02
2015-09-30,-0.63,1.46,-1.36,-1.55,0.63,-2.76,-0.54,-0.52,-1.42,-0.97,-0.72,1.56,-1.76
2015-10-31,1.23,-1.57,-0.1,3.13,0.57,1.45,-0.14,0.28,2.1,0.74,1.09,-5.19,0.83
2015-11-30,-0.39,2.19,-1.01,-0.39,0,-0.69,0.02,1.35,0.23,-0.01,0,-1.44,0.25
2015-12-31,-1.27,-1.84,-1.6,-0.62,0.29,-1.03,-0.28,-1.43,-0.49,1.24,-0.67,1.81,-0.59
2016-01-31,-2.39,2.29,-2.34,-4.07,-0.34,-2.88,-0.88,-0.04,-3.24,0.29,-1.37,7.46,-2.66
2016-02-29,-0.02,2.36,-1.29,-0.35,-0.86,-0.54,-0.62,0.2,-0.95,0.4,-0.38,1.4,-1.26
2016-03-31,1.7,-2.01,1.9,4.28,0.95,2.43,1.08,-0.43,1.84,0.58,1.56,-6.05,0.71
2016-04-30,1.4,-0.91,2.08,1.52,-0.6,1.61,1.33,0.2,0.34,-0.55,1.06,-2,0.53
2016-05-31,0.75,-1.76,1.35,-0.12,0.58,1,0.4,-0.37,1.06,0.72,0.64,-1.93,0.59
2016-06-30,0.16,3.52,0.82,1.49,-0.37,-0.12,-0.21,1.07,-0.93,-0.18,0.27,1.73,-0.74
2016-07-31,1.54,0.67,1.92,2.33,0.8,1.86,1.14,0.64,2.03,0.7,1.25,-5.92,1.34
2016-08-31,1.02,-2.25,2.09,1.69,-0.19,1.49,0.76,-0.61,0.62,0.82,0.64,-3.98,0.43
2016-09-30,0.7,-0.66,0.97,0.97,0.4,0.39,0.62,-0.28,0.64,0.41,0.56,-1.48,0.4
2016-10-31,0.27,-2.57,2.03,0.64,0.24,-0.15,0.63,0.14,-0.72,-0.62,0.52,2.11,-0.27
2016-11-30,0.31,-0.5,1.15,-1.26,0.13,1.4,0.25,0.88,0.79,0.97,0.31,-3.01,0.22
2016-12-31,0.9,0.58,1.84,0.35,0.33,1.53,0.85,1.21,0.87,0.88,0.94,-0.08,0.9
2017-01-31,1.47,-1.02,1.91,2.46,0.58,1.63,1.16,-0.13,1.28,-0.2,1.11,-3.56,0.95
2017-02-28,0.72,1.49,0.71,1.71,0.09,0.97,0.66,0.59,1,0.79,0.74,-6.72,0.8
2017-03-31,-0.02,-1.37,-0.84,1.05,0.58,0.16,0.29,-0.12,0.78,0.22,0.27,-2.71,0.41
2017-04-30,0.44,-0.17,0.51,1.09,0.32,0.98,0.3,-0.07,0.88,1.1,0.31,-1.65,0.57
2017-05-31,0.22,0.11,-0.48,0.18,-0.71,0.53,0.43,0.1,0.65,0.67,0.37,-1.21,0.33
2017-06-30,0.32,-2.22,0.28,0.61,0.22,0.17,0.28,-0.68,0.42,0.69,0.29,-3.02,-0.06
2017-07-31,0.84,0.94,1.17,2.35,0.78,1,0.5,0.58,1.2,0.59,0.66,-2.32,0.97
2017-08-31,-0.12,1.6,-0.04,1.48,0.58,-0.29,0.15,0.46,0.69,-0.04,0.26,-0.03,0.75
2017-09-30,0.65,-1.94,0.58,0.91,0.45,1.08,-0.33,-0.11,1.1,0.39,0.41,-6.52,0.39
2017-10-31,0.6,3.67,0,1.37,0.72,0.18,0.31,1.28,1.44,0.23,0.65,-9.9,1.13
2017-11-30,0.02,0.04,0.09,0.8,0.23,0.1,0.05,-0.23,0.66,-0.77,0.06,-0.08,-0.07
2017-12-31,0.25,1.15,1.66,1.62,0.52,1.5,0.09,0.55,0.91,0.78,0.55,0.43,0.64
2018-01-31,0.84,3.57,1.77,3.56,1.06,1.43,0.72,2.64,2.42,0.77,0.84,11.22,2.09
2018-02-28,-0.05,-5.68,-0.43,-1.51,-0.76,-0.95,0.46,-2.31,-1.55,-0.46,-0.4,-1.18,-1.27
2018-03-31,-0.14,-0.29,-0.39,-1.09,0.22,-1.03,-0.01,-0.62,-0.48,-0.56,-0.21,0.56,-0.44
2018-04-30,0.32,0.08,0.49,-0.61,0.03,0.46,0.53,0.26,0.49,-0.28,0.33,-0.22,0.22
2018-05-31,-0.26,-0.74,0.82,-0.92,0.33,1.16,0.16,0.3,1.08,1.11,0.39,1.39,0.73
2018-06-30,0.16,0.23,0.91,-3.08,-0.45,0.44,0.08,-0.17,-0.47,1.12,-0.29,-1.83,-0.37
2018-07-31,0.21,-0.58,0.93,0.4,-0.1,0.55,0.22,-0.14,0.67,-0.21,0.45,-0.52,0.18
2018-08-31,0.24,1.66,0.02,-2.77,0.04,0.11,0.17,-0.07,0.35,0.5,-0.02,-2.14,0.15
2018-09-30,0.34,-0.54,0.5,-1.1,-0.16,0.32,0.36,0.06,-0.23,0.28,0.18,0.36,-0.22
2018-10-31,-0.73,-3.14,-1.58,-3.15,-1.29,-2.57,-0.23,-0.96,-4.02,-0.8,-1.09,2.37,-2.69
2018-11-30,-0.68,-0.53,-1.93,1.2,-2.11,-0.34,-0.67,-0.87,-0.44,1.19,-0.63,-0.21,-0.71
